year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2018,6ix9ine,Gummo,4HbiCvH1R7mVOJ7KY7JQBD,0.0553,https://api.spotify.com/v1/audio-analysis/4HbiCvH1R7mVOJ7KY7JQBD,0.66,157643,0.775,,4HbiCvH1R7mVOJ7KY7JQBD,0,2,0.129,-4.926,1,0.172,157.036,4,https://api.spotify.com/v1/tracks/4HbiCvH1R7mVOJ7KY7JQBD,audio_features,spotify:track:4HbiCvH1R7mVOJ7KY7JQBD,0.635
2018,Offset & Metro Boomin,Ric Flair Drip,0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,https://api.spotify.com/v1/audio-analysis/0FZ4Dmg8jJJAPJnvBIzD9z,0.861,228760,0.603,,0FZ4Dmg8jJJAPJnvBIzD9z,0,8,0.0924,-5.788,0,0.176,98.043,4,https://api.spotify.com/v1/tracks/0FZ4Dmg8jJJAPJnvBIzD9z,audio_features,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,0.504
2018,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd,0.0256,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd,0.82,210787,0.568,,2Yl4OmDby9iitgNWZPwxkd,0,6,0.0952,-8.23,0,0.411,152.279,4,https://api.spotify.com/v1/tracks/2Yl4OmDby9iitgNWZPwxkd,audio_features,spotify:track:2Yl4OmDby9iitgNWZPwxkd,0.535
2018,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,0.202,https://api.spotify.com/v1/audio-analysis/1ZAyjvIk9YiD76yYy0TEG6,0.876,175230,0.519,,1ZAyjvIk9YiD76yYy0TEG6,0,11,0.108,-6.531,1,0.143,94.981,4,https://api.spotify.com/v1/tracks/1ZAyjvIk9YiD76yYy0TEG6,audio_features,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,0.158
2018,Cardi B Featuring 21 Savage,Bartier Cardi,0dIoGTQXDh1wVnhIiSyYEa,0.00111,https://api.spotify.com/v1/audio-analysis/0dIoGTQXDh1wVnhIiSyYEa,0.908,224285,0.524,,0dIoGTQXDh1wVnhIiSyYEa,0.000678,1,0.383,-7.955,1,0.181,138.015,4,https://api.spotify.com/v1/tracks/0dIoGTQXDh1wVnhIiSyYEa,audio_features,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,0.109
2018,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,0.556,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,135090,0.537,,0JP9xo3adEtGSdUEISiszL,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,0.711
2018,A$AP Ferg Featuring Nicki Minaj,Plain Jane,2YzmfPLqUx5CJOaw5ThsBV,0.0588,https://api.spotify.com/v1/audio-analysis/2YzmfPLqUx5CJOaw5ThsBV,0.791,202636,0.839,,2YzmfPLqUx5CJOaw5ThsBV,6.26E-05,11,0.259,-4.284,1,0.266,170.113,4,https://api.spotify.com/v1/tracks/2YzmfPLqUx5CJOaw5ThsBV,audio_features,spotify:track:2YzmfPLqUx5CJOaw5ThsBV,0.383
2018,Jay Rock  Kendrick Lamar  Future & James Blake,King's Dead,51rXHuKN8Loc4sUlKPODgH,0.000874,https://api.spotify.com/v1/audio-analysis/51rXHuKN8Loc4sUlKPODgH,0.563,229670,0.717,,51rXHuKN8Loc4sUlKPODgH,0,1,0.183,-5.186,1,0.337,82.064,4,https://api.spotify.com/v1/tracks/51rXHuKN8Loc4sUlKPODgH,audio_features,spotify:track:51rXHuKN8Loc4sUlKPODgH,0.427
2018,N*E*R*D & Rihanna,Lemon,739vCwA3EpBSkk3uDsI2wB,0.000738,https://api.spotify.com/v1/audio-analysis/739vCwA3EpBSkk3uDsI2wB,0.777,226107,0.657,,739vCwA3EpBSkk3uDsI2wB,3.34E-06,1,0.0932,-6.434,1,0.237,189.992,4,https://api.spotify.com/v1/tracks/739vCwA3EpBSkk3uDsI2wB,audio_features,spotify:track:739vCwA3EpBSkk3uDsI2wB,0.245
2018,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,0.211,https://api.spotify.com/v1/audio-analysis/4MPTj8lMMvxLwT3EwuXFop,0.449,228373,0.599,,4MPTj8lMMvxLwT3EwuXFop,0,1,0.327,-4.892,1,0.0369,134.144,3,https://api.spotify.com/v1/tracks/4MPTj8lMMvxLwT3EwuXFop,audio_features,spotify:track:4MPTj8lMMvxLwT3EwuXFop,0.165
2018,Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT,0.279,https://api.spotify.com/v1/audio-analysis/3qN5qMTKyEEmiTZD38BNTT,0.899,214467,0.586,,3qN5qMTKyEEmiTZD38BNTT,0,11,0.0836,-7.866,0,0.344,150.001,4,https://api.spotify.com/v1/tracks/3qN5qMTKyEEmiTZD38BNTT,audio_features,spotify:track:3qN5qMTKyEEmiTZD38BNTT,0.492
2018,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,0.225,https://api.spotify.com/v1/audio-analysis/6CTWathupIiDs7U4InHnDA,0.477,213993,0.61,,6CTWathupIiDs7U4InHnDA,0,11,0.107,-5.628,0,0.144,79.882,4,https://api.spotify.com/v1/tracks/6CTWathupIiDs7U4InHnDA,audio_features,spotify:track:6CTWathupIiDs7U4InHnDA,0.358
2018,Miguel Featuring Travis Scott,Sky Walker,5WoaF1B5XIEnWfmb5NZikf,0.173,https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf,0.674,259333,0.506,,5WoaF1B5XIEnWfmb5NZikf,0,6,0.0866,-10.532,1,0.0434,145.965,4,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,audio_features,spotify:track:5WoaF1B5XIEnWfmb5NZikf,0.183
